"ID","NOMBRE","LATITUD","LONGITUD"
112,"Pto San Aucapan"," -39.584173","-71.159736"
113,"Pto San Bajada de los Mo"," -39.189826","-70.259357"
114,"Pto San Barda Negra"," -39.123481","-69.869070"
115,"Pto San Bella Vista"," -37.063759","-70.774067"
116,"Pto San Butaco"," -36.908367","-69.815287"
117,"Pto San Caichihue"," -39.455632","-70.342012"
118,"Pto San Cajon del Manzan"," -38.290072","-70.522980"
119,"Pto San Cancha Huinganco"," -37.066337","-70.388627"
120,"Pto San Chacaico"," -39.284935","-70.241229"
121,"Pto San Chapua"," -37.244749","-70.237432"
122,"Pto San China Muerta"," -38.977940","-68.328646"
123,"Pto San Chiquilihuín"," -39.693804","-71.025417"
124,"Pto San Colipilli"," -37.778356","-70.446081"
125,"Pto San Coyuco"," -36.517969","-70.174895"
126,"Pto San Curi Leuvu"," -37.177719","-70.395589"
127,"Pto San El Alamito"," -37.258789","-70.410141"
128,"Pto San El Salitral"," -39.744312","-70.603630"
129,"Pto San El Sauce"," -39.480812","-69.525113"
130,"Pto San Guañacos"," -37.273509","-70.756034"
131,"Pto San Huantraico"," -37.453716","-69.661285"
132,"Pto San Huarenchenque"," -38.277151","-70.606904"
133,"Pto San Huilquimenuco"," -39.861530","-70.859529"
134,"Pto San Huinganco"," -37.158265","-70.620425"
135,"Pto San Kilca"," -38.980806","-70.904602"
136,"Pto San La Buitrera"," -38.557020","-70.372861"
137,"Pto San La Calesita"," -37.916929","-70.974646"
138,"Pto San La Patagonia"," -38.495560","-69.523760"
139,"Pto San La Picaza"," -39.532612","-70.010128"
140,"Pto San La Salada"," -37.303088","-70.242930"
141,"Pto San Las Chacras"," -37.054314","-69.842047"
142,"Pto San Las Cortaderas"," -39.399725","-70.164669"
143,"Pto San Limay Centro"," -39.398225","-69.594794"
144,"Pto San Lonco Luan"," -38.985944","-71.046667"
145,"Pto San Los Carrizos"," -37.109679","-70.756113"
146,"Pto San Los Chihuidos"," -38.393177","-69.154077"
147,"Pto San los Menucos"," -37.202097","-70.373105"
148,"Pto San Los Miches"," -37.219508","-70.833230"
149,"Pto San Mallín de los C"," -38.696459","-70.203953"
150,"Pto San Media Luna"," -39.469879","-70.484804"
